id,name,comment,quantity,display,recipe_id
0,unsalted butter,melted,½,cup,homemade-cinnamon-rolls
1,whole milk,warm to the touch,2,cups,homemade-cinnamon-rolls
2,granulated sugar,,½,cup,homemade-cinnamon-rolls
3,active dry yeast,,2 ¼,teaspoons,homemade-cinnamon-rolls
4,flour,divided,5,cups,homemade-cinnamon-rolls
5,baking powder,,1,teaspoon,homemade-cinnamon-rolls
6,salt,,2,teaspoons,homemade-cinnamon-rolls
7,butter,softened,¾,cup,homemade-cinnamon-rolls
8,light brown sugar,,¾,cup,homemade-cinnamon-rolls
9,ground cinnamon,,2,tablespoons,homemade-cinnamon-rolls
10,cream cheese,softened,4,oz,homemade-cinnamon-rolls
11,butter,melted,2,tablespoons,homemade-cinnamon-rolls
12,whole milk,,2,tablespoons,homemade-cinnamon-rolls
13,vanilla extract,,1,teaspoon,homemade-cinnamon-rolls
14,powdered sugar,,1,cup,homemade-cinnamon-rolls
15,hot water,,2,tablespoons,whipped-coffee
16,sugar,,2,tablespoons,whipped-coffee
17,instant coffee powder,,2,tablespoons,whipped-coffee
18,milk,to serve,,,whipped-coffee
19,ice,to serve,,,whipped-coffee
20,flour,sifted,4,cups,fluffy-perfect-pancakes
21,baking powder,,4,tablespoons,fluffy-perfect-pancakes
22,milk,warm to the touch,4,cups,fluffy-perfect-pancakes
23,butter,melted,¾,cup,fluffy-perfect-pancakes
24,egg yolks,,3,,fluffy-perfect-pancakes
25,egg whites,,4,,fluffy-perfect-pancakes
26,maple syrup,to serve,,,fluffy-perfect-pancakes
27,whole milk,warm to the touch,2,cups,tasty-101-cinnamon-rolls
28,sugar,,½,cup,tasty-101-cinnamon-rolls
29,unsalted butter,melted,8,tablespoons,tasty-101-cinnamon-rolls
30,active dry yeast,,2 ¼,teaspoons,tasty-101-cinnamon-rolls
31,all-purpose flour,divided,5,cups,tasty-101-cinnamon-rolls
32,baking powder,,1,teaspoon,tasty-101-cinnamon-rolls
33,kosher salt,,2,teaspoons,tasty-101-cinnamon-rolls
34,light brown sugar,,¾,cup,tasty-101-cinnamon-rolls
35,unsalted butter,softened,12,tablespoons,tasty-101-cinnamon-rolls
36,ground cinnamon,,2,tablespoons,tasty-101-cinnamon-rolls
37,cream cheese,softened and cubed,4,oz,tasty-101-cinnamon-rolls
38,unsalted butter,melted,2,tablespoons,tasty-101-cinnamon-rolls
39,milk,,4,tablespoons,tasty-101-cinnamon-rolls
40,vanilla extract,,1,teaspoon,tasty-101-cinnamon-rolls
41,powdered sugar,,1,cup,tasty-101-cinnamon-rolls
42,ripe bananas,,2,,healthy-banana-pancakes
43,eggs,,2,,healthy-banana-pancakes
44,vanilla extract,,1,teaspoon,healthy-banana-pancakes
45,quick-cook oats,,½,cup,healthy-banana-pancakes
46,cinnamon,,1,teaspoon,healthy-banana-pancakes
47,all-purpose flour,,2 ½,cups,tasty-101-buttermilk-pancakes
48,sugar,,3,tablespoons,tasty-101-buttermilk-pancakes
49,kosher salt,,2,teaspoons,tasty-101-buttermilk-pancakes
50,baking powder,,1,teaspoon,tasty-101-buttermilk-pancakes
51,baking soda,,1,teaspoon,tasty-101-buttermilk-pancakes
52,buttermilk,,2 ½,cups,tasty-101-buttermilk-pancakes
53,unsalted butter,"1 stick, melted",8,tablespoons,tasty-101-buttermilk-pancakes
54,eggs,whites and yolks seperated,2,,tasty-101-buttermilk-pancakes
55,unsalted butter,plus more for serving,1,tablespoon,tasty-101-buttermilk-pancakes
56,blueberry,optional,,,tasty-101-buttermilk-pancakes
57,chocolate chip,optional,,,tasty-101-buttermilk-pancakes
58,maple syrup,for serving,,,tasty-101-buttermilk-pancakes
59,all-purpose flour,,2,cups,buttermilk-pancakes
60,sugar,,2,tablespoons,buttermilk-pancakes
61,kosher salt,,½,teaspoon,buttermilk-pancakes
62,baking powder,,½,teaspoon,buttermilk-pancakes
63,baking soda,,½,teaspoon,buttermilk-pancakes
64,buttermilk,,2,cups,buttermilk-pancakes
65,eggs,,2,,buttermilk-pancakes
66,unsalted butter,melted,3,tablespoons,buttermilk-pancakes
67,unsalted butter,plus more to serve,½,teaspoon,buttermilk-pancakes
68,maple syrup,to serve,,,buttermilk-pancakes
69,rolled oats,,½,cup,3-ingredient-banana-oat-smoothie
70,banana,,1,,3-ingredient-banana-oat-smoothie
71,milk,of choice,1,cup,3-ingredient-banana-oat-smoothie
72,flour,,1,cup,the-fluffiest-vegan-pancakes
73,organic sugar,,2,tablespoons,the-fluffiest-vegan-pancakes
74,baking powder,,1,tablespoon,the-fluffiest-vegan-pancakes
75,salt,,½,teaspoon,the-fluffiest-vegan-pancakes
76,non-dairy milk,,1,cup,the-fluffiest-vegan-pancakes
77,apple cider vinegar,,1,tablespoon,the-fluffiest-vegan-pancakes
78,vanilla,,1,teaspoon,the-fluffiest-vegan-pancakes
79,maple syrup,to serve,,,the-fluffiest-vegan-pancakes
80,creamy peanut butter,,⅔,cup,peanut-butter-energy-bites
81,old fashion oat,plus extra for rolling,1,cup,peanut-butter-energy-bites
82,honey,,1 ½,tablespoons,peanut-butter-energy-bites
83,mini chocolate chips,plus extra for rolling,¼,cup,peanut-butter-energy-bites
84,flax seed,optional,¼,cup,peanut-butter-energy-bites
85,ripe bananas,,3,,healthy-blueberry-banana-bread
86,eggs,,2,,healthy-blueberry-banana-bread
87,2% plain greek yogurt,,½,cup,healthy-blueberry-banana-bread
88,honey,,⅓,cup,healthy-blueberry-banana-bread
89,vanilla extract,,1,teaspoon,healthy-blueberry-banana-bread
90,baking soda,,1,teaspoon,healthy-blueberry-banana-bread
91,wheat flour,,1 ½,cups,healthy-blueberry-banana-bread
92,blueberry,,1,cup,healthy-blueberry-banana-bread
93,bread,,1,slice,cheesy-egg-toast-perfect-for-breakfast
94,butter,,½,tablespoon,cheesy-egg-toast-perfect-for-breakfast
95,egg,,1,,cheesy-egg-toast-perfect-for-breakfast
96,shredded cheese,,3,tablespoons,cheesy-egg-toast-perfect-for-breakfast
97,salt,to taste,,,cheesy-egg-toast-perfect-for-breakfast
98,pepper,to taste,,,cheesy-egg-toast-perfect-for-breakfast
99,banana,,1,,3-ingredient-pancakes
100,eggs,,2,,3-ingredient-pancakes
101,cinnamon,,¼,teaspoon,3-ingredient-pancakes
102,maple syrup,"or honey, to serve",,,3-ingredient-pancakes
103,all-purpose flour,,2,cups,chocolate-strawberry-crepes
104,eggs,,3,,chocolate-strawberry-crepes
105,butter,melted,¼,cup,chocolate-strawberry-crepes
106,granulated sugar,,3,tablespoons,chocolate-strawberry-crepes
107,milk,,3,cups,chocolate-strawberry-crepes
108,hazelnut spread,,½,cup,chocolate-strawberry-crepes
109,strawberries,sliced,10,,chocolate-strawberry-crepes
110,powdered sugar,to garnish,,,chocolate-strawberry-crepes
